Date,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
01/01/2017 00:00,19,0.42,1.3,11,12,32,89,52,NR,93,2.1,47,52,1.3,1.3
01/01/2017 01:00,18,0.48,1.3,12,13,29,88,64,NR,94,1.9,67,78,1,1.1
01/01/2017 02:00,18,0.42,0.7,9.2,9.9,29,73,48,NR,94,1.8,66,60,0.5,1.1
01/01/2017 03:00,18,0.46,0.8,11,11,20,69,39,NR,94,1.4,34,104,0.4,0.2
01/01/2017 04:00,18,0.48,0.9,13,13,13,64,28,NR,95,1.4,52,39,0.4,0.4
01/01/2017 05:00,18,0.59,1.4,17,18,4.4,76,36,NR,96,1.4,328,261,0.4,0.4
01/01/2017 06:00,18,0.65,3.1,18,21,1.3,76,47,NR,96,1.5,71,50,0.9,0.5
01/01/2017 07:00,18,0.68,4.7,14,19,6.6,83,41,NR,97,1.5,68,62,1.3,0.9
01/01/2017 08:00,20,0.56,3.7,12,16,18,81,52,NR,90,2.1,52,318,1.1,0.7
01/01/2017 09:00,24#,0.56#,2#,12#,14#,1#,87,68,0#,70#,4.5#,321#,343,1.3,0.8#
01/01/2017 10:00,25,0.64,1.8,13,15,50,85,65,NR,65,6.4,293,250,1.6,0.5
01/01/2017 11:00,26,0.6,1.4,13,14,70,98,62,NR,62,6.2,266,265,1.9,1.3
01/01/2017 12:00,26,0.62,0.9,12,12,85,104,48,NR,60,6.1,254,267,2,1.5
01/01/2017 13:00,26,0.57,1,17,18,102,111,66,NR,63,8.8,251,263,3.6,2.8
01/01/2017 14:00,26,0.58,1.6,20,22,75,117,47,NR,65,12,254,246,2.9,3
01/01/2017 15:00,25,0.38,1.2,15,16,74,112,50,NR,68,5.3,245,217,1.8,2.2
01/01/2017 16:00,24,0.42,1,17,18,62,94,23,NR,75,5.8,200,208,2,2.4
01/01/2017 17:00,23,0.31,1.1,13,15,63,68,33,NR,79,3.6,207,220,1.8,1.9
01/01/2017 18:00,23,0.39,0.8,15,16,64,73,36,NR,83,4.8,236,253,1.9,1.8
01/01/2017 19:00,22,0.47,0.7,17,18,59,88,58,NR,83,6.1,254,271,1,1.5
01/01/2017 20:00,22,0.69,1,20,21,46,101,54,NR,85,5.3,32,59,0.5,0.4
01/01/2017 21:00,21,0.48,0.7,17,18,39,98,44,NR,89,3.3,89,60,0.7,0.4
01/01/2017 22:00,21,0.41,0.9,16,17,34,100,41,NR,90,2.8,91,47,0.4,0.6
01/01/2017 23:00,21,0.46,0.8,12,12,24,109,53,NR,92,2.3,45,54,1.1,0.7
01/02/2017 00:00,20,0.41,0.8,14,15,16,113,62,NR,94,1.8,52,40,0.6,0.9
01/02/2017 01:00,20,0.45,0.8,15,15,14,94,44,NR,95,2.4,152,150,0.4,0.1
01/02/2017 02:00,19,0.49,1,15,16,13,78,39,NR,95,2.4,41,233,0.4,0.2
01/02/2017 03:00,19,0.49,1.4,15,17,6.6,67,33,NR,96,2,46,51,1,0.6
01/02/2017 04:00,18,0.46,1.5,13,15,7.4,82,48,NR,97,1.9,45,48,0.8,1.1
01/02/2017 05:00,18,0.47,1.1,13,14,5.7,89,38,NR,97,1.8,44,44,1.4,1
