Date,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,UVB,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
01/01/2017 00:00,20,2.5,1.27,0.38,5.3,35,40,11,153,92,NR,82,6,2.9,0,51,341,0.5,0.6
01/01/2017 01:00,20,2.8,0.97,0.28,2.4,29,32,7.6,154,106,NR,82,1.8,3.1,0,323,353,1.3,0.4
01/01/2017 02:00,19,2.3,0.75,0.18,2.8,23,26,13,147,106,NR,84,1.9,2.5,0,47,55,1.5,0.7
01/01/2017 03:00,19,2.2,0.63,0.14,1.7,16,18,15,100,67,NR,84,1.5,2.3,0,349,341,1.4,0.4
01/01/2017 04:00,19,2.2,0.63,0.15,1.5,15,17,14,86,53,NR,85,1.6,2.3,0,0.4,307,1.1,0.4
01/01/2017 05:00,19,2.2,0.62,0.15,1.3,13,15,14,80,55,NR,85,1.5,2.4,0,316,311,0.6,0.7
01/01/2017 06:00,19,2.1,0.62,0.15,1.3,13,15,14,76,52,NR,85,1.5,2.3,0,337,354,0.9,0.5
01/01/2017 07:00,19,2.2,0.75,0.21,4.5,17,22,8.8,77,48,NR,84,1.4,2.4,0.3,29,312,1.2,0.5
01/01/2017 08:00,20,2.2,0.64,0.15,5.9,14,20,15,67,43,NR,80,1.6,2.4,1.4,359,9,1.4,0.6
01/01/2017 09:00,22,2,0.61,0.11,4.5,13,17,32,66,46,NR,72,3.4,2.1,3.2,19,0.1,1.1,0.6
01/01/2017 10:00,24,1.9,0.54,0.08,2.4,11,13,52,68,53,NR,65,4.8,2,5,338,54,1.6,0.4
01/01/2017 11:00,25,1.9,0.48,0.05,1.8,8.7,11,66,81,55,NR,59,4.2,1.9,6,283,69,1.1,0.8
01/01/2017 12:00,26,1.9,0.48,0.06,1.4,8.8,10,74,81,52,NR,56,4.1,1.9,5.7,258,193,1.6,0.9
01/01/2017 13:00,27,1.9,0.48,0.1,1.5,13,15,94,87,55,NR,55,5.3,2,3.5,284,282,1.9,1.1
01/01/2017 14:00,26,1.9,0.38,0.08,1.4,12,14,73,80,49,NR,58,3,2,2.7,292,288,3.1,2.2
01/01/2017 15:00,26,1.9,0.35,0.08,1.5,13,14,67,73,52,NR,62,2.6,1.9,1.2,288,297,2.1,2.7
01/01/2017 16:00,24,1.9,0.43,0.09,1.6,15,17,68,65,43,NR,67,2.9,2,0.2,286,276,2.6,2
01/01/2017 17:00,23,2,0.5,0.15,1.4,19,21,61,75,42,NR,71,3.2,2.1,0,260,276,1.4,1.8
01/01/2017 18:00,23,2,0.59,0.13,1.5,21,22,58,81,42,NR,73,2.2,2.1,0,260,257,1.7,1.5
01/01/2017 19:00,23,2,0.63,0.14,1.3,22,23,58,95,53,NR,75,1.7,2.1,0,279,282,1.5,1.1
01/01/2017 20:00,23,1.9,0.63,0.14,1.2,21,22,52,94,62,NR,77,2,2.1,0,284,280,0.9,1.1
01/01/2017 21:00,23,1.9,0.53,0.14,1.2,20,22,49,103,67,NR,76,4.2,2.1,0,287,306,0.6,0.7
01/01/2017 22:00,22,2,0.59,0.2,1.5,19,21,44,92,59,NR,76,3.4,2.2,0,178,29,0.8,0.1
01/01/2017 23:00,22,2.1,0.61,0.2,1.5,23,24,34,90,59,NR,78,2.7,2.3,0,334,343,1.1,0.5
01/02/2017 00:00,21,2.3,0.51,0.13,1.5,19,21,26,96,59,NR,82,2.1,2.4,0,43,41,1.7,0.9
01/02/2017 01:00,21,2.2,0.44,0.1,1.3,16,17,22,107,64,NR,84,2.5,2.3,0,5.5,331,1.6,0.3
01/02/2017 02:00,20,2.1,0.42,0.09,1.5,14,15,22,112,55,NR,85,2.1,2.2,0,335,307,0.7,0.5
01/02/2017 03:00,20,2.2,0.44,0.1,1.7,13,15,15,99,55,NR,86,1.3,2.3,0,277,273,1,0.9
01/02/2017 04:00,19,2.1,0.39,0.11,1.5,10,12,14,84,48,NR,88,0.9,2.2,0,271,292,0.5,0.7
01/02/2017 05:00,19,2.2,0.45,0.15,1.7,12,14,10,70,47,NR,88,0.6,2.3,0,322,317,0.8,0.4
01/02/2017 06:00,19,2.2,0.49,0.13,2.8,17,20,6,64,39,NR,88,0.6,2.4,0,323,327,1.1,0.6
01/02/2017 07:00,19,2.7,0.58,0.16,14,18,32,3.6,65,43,NR,88,0.6,2.9,0.3,3.6,17,1.6,0.7
01/02/2017 08:00,19,2.1,0.52,0.11,5,12,17,14,69,56,NR,90,1,2.2,1,352,322,1.4,0.6
01/02/2017 09:00,20,2,0.53,0.11,4.9,13,18,22,77,68,NR,89,1.8,2.1,3,325,292,1.5,0.8
01/02/2017 10:00,23,2,0.47,0.1,3.9,11,15,39,85,69,NR,77,2.6,2.1,5.1,312,335,1.6,0.7
01/02/2017 11:00,25,1.9,0.37,0.06,2.3,7.6,9.9,56,82,58,NR,63,2.8,2,6.4,288,282,2.1,0.9
01/02/2017 12:00,26,1.9,0.35,0.07,1.7,7.1,8.8,63,79,62,NR,57,3,1.9,6.3,285,281,2.2,1.3
01/02/2017 13:00,27,1.9,0.39,0.08,1.8,9.3,11,74,67,60,NR,54,3.7,2,5.2,289,290,1.6,1.5
01/02/2017 14:00,27,1.9,0.41,0.07,1.7,10,12,78,79,64,NR,52,2.8,2,3.1,304,308,1.8,1.3
01/02/2017 15:00,27,1.9,0.49,0.1,1.8,14,16,83,83,52,NR,55,1.8,2,1.4,300,294,1.9,1.9
01/02/2017 16:00,26,2,0.58,0.13,1.8,18,20,82,105,61,NR,60,1.8,2.1,0.4,303,314,2,1.9
01/02/2017 17:00,24,1.9,0.59,0.13,1.7,23,24,55,119,62,NR,68,2,2.1,0,307,304,1.6,1.4
01/02/2017 18:00,24,2,0.71,0.2,1.6,27,29,39,126,69,NR,72,1.9,2.2,0,295,277,0.8,0.7
01/02/2017 19:00,23,1.9,0.68,0.21,1.8,27,29,32,117,64,NR,74,1.7,2.2,0,278,300,0.6,0.7
01/02/2017 20:00,23,2.1,0.77,0.25,1.9,31,33,23,105,72,NR,76,2.3,2.3,0,41,42,1.3,0.7
01/02/2017 21:00,22,2.1,0.62,0.2,1.8,25,27,23,97,64,NR,78,2.6,2.3,0,50,48,1.3,1.2
01/02/2017 22:00,21,2.4,0.55,0.16,1.9,23,25,15,97,58,NR,81,2.3,2.5,0,346,307,0.8,0.5
01/02/2017 23:00,21,2.4,0.49,0.14,2.2,24,26,9.6,94,41,NR,82,2,2.6,0,330,319,1,0.4
01/03/2017 00:00,21,2.4,0.43,0.11,1.9,18,20,12,90,48,NR,83,2.3,2.5,0,17,56,1.2,0.5
01/03/2017 01:00,20,2.2,0.38,0.1,1.6,13,15,14,79,46,NR,84,1.2,2.3,0,14,343,1.6,0.6
01/03/2017 02:00,20,2.3,0.36,0.1,1.4,14,15,9,66,50,NR,85,1,2.4,0,6.2,323,0.7,0.4
01/03/2017 03:00,20,2.2,0.38,0.1,0.9,13,14,9.8,61,46,NR,86,0.3,2.3,0,347,351,0.8,0.4
01/03/2017 04:00,20,2.2,0.42,0.09,1.2,13,14,9.9,56,43,NR,86,-0.2,2.3,0,285,237,0.5,0.6
01/03/2017 05:00,20,2.1,0.5,0.13,1,13,13,13,59,44,NR,86,0.4,2.2,0,343,13,0.5,0.3
01/03/2017 06:00,19,2.2,0.57,0.16,1.8,17,19,7.6,52,42,NR,86,0.2,2.4,0,29,351,0.8,0.5
01/03/2017 07:00,19,2.3,0.81,0.22,7.3,21,28,6.9,58,49,NR,87,0.4,2.5,0.3,32,215,0.5,0.5
01/03/2017 08:00,20,2.3,1.18,0.37,11,25,36,11,65,52,NR,85,1.6,2.6,1.2,338,317,0.9,0.4
01/03/2017 09:00,22,2.1,1,0.32,11,25,36,20,76,66,NR,78,2.7,2.5,3,350,358,0.9,0.4
01/03/2017 10:00,24,2,0.69,0.2,4.3,21,25,42,88,69,NR,67,3.5,2.2,4.5,262,269,1.5,0.4
01/03/2017 11:00,25,1.9,0.48,0.11,2.8,17,20,52,81,61,NR,63,6.1,2,4.7,233,187,1.1,1.2
01/03/2017 12:00,25,1.9,0.69,0.23,1.9,25,27,78,95,61,NR,60,5.7,2.1,3.5,230,267,1.4,1.1
01/03/2017 13:00,26,1.9,0.55,0.16,1.1,19,20,83,85,59,NR,58,3.9,2,3.8,243,273,1,0.7
01/03/2017 14:00,26,1.9,0.49,0.13,0.9,16,17,87,87,62,NR,57,3.1,2,2.8,298,300,1.7,0.9
01/03/2017 15:00,26,1.9,0.42,0.16,1.3,19,20,68,75,50,NR,59,2.7,2,1.3,293,288,2.6,2.2
01/03/2017 16:00,25,1.9,0.51,0.2,1.2,23,25,63,86,50,NR,65,3.2,2.1,0.4,282,283,3,2.5
01/03/2017 17:00,24,2,0.65,0.28,0.9,31,32,52,100,60,NR,69,3.4,2.2,0,273,277,1.5,1.9
01/03/2017 18:00,23,1.9,0.58,0.21,0.7,29,30,44,114,72,NR,72,3.9,2.1,0,274,283,1.5,1.7
01/03/2017 19:00,23,1.9,0.61,0.21,0.9,31,32,37,113,68,NR,73,5.3,2.1,0,297,313,1.1,1.2
01/03/2017 20:00,23,2,0.66,0.19,0.9,28,29,38,108,64,NR,72,4,2.2,0,354,350,0.9,0.4
01/03/2017 21:00,23,2,0.68,0.2,0.9,27,27,33,109,64,NR,72,4.3,2.2,0,11,103,0.5,0.2
01/03/2017 22:00,22,2,0.68,0.23,1,27,28,24,116,64,NR,75,3.3,2.3,0,283,303,0.7,0.6
01/03/2017 23:00,21,2.3,0.64,0.21,1.2,25,27,18,118,68,NR,80,2.1,2.5,0,348,358,0.7,0.5
01/04/2017 00:00,21,2.3,0.53,0.18,0.9,23,24,16,120,62,NR,82,1.7,2.5,0,42,44,1,0.5
01/04/2017 01:00,21,2.2,0.47,0.17,0.9,18,19,15,117,59,NR,83,2,2.4,0,35,311,0.5,0.3
01/04/2017 02:00,20,2.4,0.47,0.17,0.9,17,18,14,117,48,NR,84,1.6,2.6,0,21,355,0.9,0.4
01/04/2017 03:00,20,2.5,0.45,0.15,1.3,19,21,8.5,107,47,NR,85,0.7,2.7,0,338,319,0.7,0.3
01/04/2017 04:00,20,2.5,0.42,0.13,1.3,18,19,6.8,94,46,NR,86,0.5,2.7,0,338,24,1.2,0.5
01/04/2017 05:00,20,2.4,0.47,0.14,1.3,17,19,8.8,87,42,NR,86,0.6,2.6,0,356,328,0.5,0.4
01/04/2017 06:00,20,2.2,0.55,0.16,1.9,19,21,6.9,83,33,NR,84,0.7,2.4,0,30,37,0.6,0.5
01/04/2017 07:00,20,2.2,1.12,0.38,9.5,24,34,6.6,84,28,NR,83,1.3,2.6,0.3,53,51,0.7,0.5
01/04/2017 08:00,22,2.1,0.92,0.28,6.2,22,28,19,81,39,NR,76,2.4,2.4,1.4,17,356,1.2,0.5
01/04/2017 09:00,23,2.3,0.64,0.18,9.2,21,30,21,76,46,NR,73,2.5,2.5,3.1,341,339,1.5,0.6
01/04/2017 10:00,24,2,0.43,0.1,2.4,11,13,48,76,55,NR,63,3.6,2.1,5,332,274,1.6,0.3
01/04/2017 11:00,25,1.9,0.38,0.08,1.4,9.7,11,55,78,40,NR,59,3.6,1.9,5.1,235,214,1.4,0.9
01/04/2017 12:00,25,1.9,0.5,0.17,1.3,21,22,60,85,44,NR,59,5.6,2.1,2,265,295,1.1,1.1
01/04/2017 13:00,26,1.9,0.49,0.19,1.5,21,23,72,105,53,NR,59,5.3,2.1,3.4,292,284,1.9,1.3
01/04/2017 14:00,26,1.9,0.42,0.14,1,16,17,83,113,68,NR,57,3.7,2,2.1,277,289,1.4,0.8
01/04/2017 15:00,26,1.9,0.4,0.12,0.9,15,16,73,105,65,NR,56,3.2,2,0.7,261,269,2.5,1
01/04/2017 16:00,25,1.9,0.47,0.21,0.9,21,22,60,93,59,NR,61,3.8,2.1,0.1,287,290,1.6,1.5
01/04/2017 17:00,24,1.9,0.6,0.24,0.8,30,30,49,92,52,NR,67,4.4,2.2,0,280,300,1.5,1.7
01/04/2017 18:00,24,1.9,0.57,0.21,0.6,27,28,45,102,48,NR,70,3.4,2.1,0,286,275,1.8,1.3
01/04/2017 19:00,24,1.9,0.51,0.19,0.7,24,25,45,103,48,NR,71,2.7,2.1,0,294,275,1.1,1.3
01/04/2017 20:00,23,1.9,0.56,0.21,0.7,22,23,41,97,54,NR,73,2.6,2.1,0,274,271,1.7,1.2
01/04/2017 21:00,22,1.9,0.53,0.21,0.8,19,20,40,97,64,NR,75,3.1,2.1,0,293,296,1.1,1.1
01/04/2017 22:00,22,2,0.52,0.23,0.8,19,20,29,97,68,NR,78,3.2,2.2,0,313,333,1,0.6
01/04/2017 23:00,21,2.1,0.47,0.18,0.9,21,22,23,98,66,NR,80,2.8,2.2,0,324,358,0.9,0.6
01/05/2017 00:00,21,2.3,0.45,0.15,0.7,19,20,21,106,55,NR,82,1.7,2.4,0,337,324,0.6,0.4
01/05/2017 01:00,21,2.3,0.43,0.16,0.6,18,18,15,101,55,NR,83,1.9,2.4,0,293,244,0.5,0.3
01/05/2017 02:00,20,2.1,0.44,0.17,0.8,15,16,12,106,49,NR,85,1.6,2.3,0,305,311,0.7,0.6
01/05/2017 03:00,20,2.3,0.39,0.13,1.5,15,17,13,89,61,NR,86,0.4,2.4,0,354,59,0.7,0.4
01/05/2017 04:00,20,2.7,0.44,0.15,1.5,16,18,7.2,86,53,NR,87,0,2.9,0,35,303,0.5,0.4
01/05/2017 05:00,20,2.4,0.44,0.15,1.6,16,17,8,81,50,NR,87,0.3,2.5,0,27,20,1.3,0.4
01/05/2017 06:00,20,2.4,0.49,0.15,2.1,16,18,6.5,89,36,NR,87,0.2,2.5,0,23,337,0.7,0.4
01/05/2017 07:00,20,2.2,0.74,0.22,8,19,27,5.6,96,25,NR,87,0.9,2.5,0.3,337,327,1.6,0.6
01/05/2017 08:00,21,2.2,0.84,0.24,20,22,42,7.6,104,29,NR,85,1.6,2.5,1.3,348,357,1.6,0.8
01/05/2017 09:00,23,2,0.51,0.13,6.5,16,23,27,98,40,NR,75,2,2.1,3,336,311,2.1,0.8
01/05/2017 10:00,24,1.9,0.37,0.07,2.4,8.6,11,47,93,61,NR,67,1.7,2,4.6,324,335,2.1,0.8
01/05/2017 11:00,25,1.9,0.32,0.05,1.6,6.1,7.6,54,74,56,NR,62,1.3,1.9,5.4,323,301,2.3,0.7
01/05/2017 12:00,26,1.8,0.32,0.05,1.4,6.4,7.9,54,68,44,NR,61,1.2,1.9,5.3,302,290,2.3,1.4
01/05/2017 13:00,26,1.9,0.32,0.06,1.4,7.7,9.1,59,56,23,NR,59,1.2,1.9,4.8,306,297,2.4,1.6
01/05/2017 14:00,26,1.9,0.29,0.06,1.6,8.3,9.9,60,62,28,NR,58,1.1,1.9,3.4,301,298,2,1.6
01/05/2017 15:00,26,1.9,0.31,0.06,1.4,10,12,59,57,30,NR,58,0.4,1.9,1.5,303,313,2,1.5
01/05/2017 16:00,26,1.9,0.38,0.08,1.5,14,15,53,66,37,NR,60,0.6,2,0.4,312,310,1.8,1.6
01/05/2017 17:00,25,1.9,0.52,0.14,1.3,19,21,40,66,25,NR,64,0.8,2,0,306,306,1.2,1
01/05/2017 18:00,24,1.9,0.47,0.12,1.7,19,21,34,59,23,NR,65,0.8,2,0,310,315,1.7,1.2
01/05/2017 19:00,23,1.9,0.46,0.13,1.3,20,22,28,48,16,NR,66,0.6,2,0,310,308,1.2,0.9
01/05/2017 20:00,23,1.9,0.65,0.2,1.3,27,28,21,37,27,NR,71,0.9,2.1,0,277,261,0.7,0.4
01/05/2017 21:00,23,2,0.8,0.28,1.6,30,32,15,45,28,NR,73,1.3,2.3,0,320,357,0.8,0.3
01/05/2017 22:00,22,2.1,0.59,0.22,1.5,22,23,20,53,36,NR,76,1.8,2.3,0,27,43,0.9,0.6
01/05/2017 23:00,22,2.1,0.43,0.15,1.2,19,20,19,66,33,NR,78,2.1,2.2,0,301,257,0.5,0.4
01/06/2017 00:00,22,2.1,0.43,0.17,1.1,18,19,16,72,47,NR,80,2.4,2.2,0,316,234,0.5,0.2
01/06/2017 01:00,21,2.3,0.43,0.19,1.3,19,20,12,72,53,NR,81,2,2.5,0,33,51,0.6,0.4
01/06/2017 02:00,21,2.3,0.36,0.13,1.3,16,18,13,64,59,NR,83,1.9,2.4,0,42,47,0.8,0.7
01/06/2017 03:00,20,2.2,0.35,0.11,1.2,15,16,11,61,49,NR,84,1.3,2.3,0,45,36,1,0.7
01/06/2017 04:00,20,2.2,0.37,0.12,1.2,15,16,7.8,56,50,NR,85,0.9,2.4,0,17,323,0.7,0.5
01/06/2017 05:00,20,2.3,0.34,0.1,1.6,15,17,4.5,53,43,NR,85,0.7,2.4,0,329,328,0.9,0.7
01/06/2017 06:00,20,2.2,0.36,0.09,1.6,14,16,8.9,38,39,NR,84,0.8,2.3,0,340,48,0.6,0.6
01/06/2017 07:00,21,2.1,0.75,0.23,7.8,22,30,7.7,39,25,NR,82,1.2,2.3,0.3,346,328,0.5,0.4
