日期時間,土壤溫度01 (°C),土壤濕度01 (%),土壤濕度02 (%),土壤濕度03 (%),土壤濕度04 (%),土壤濕度05 (%),土壤濕度06 (%),土壤濕度07 (%),土壤濕度08 (%),土壤酸鹼值 (pH),電力 (V)
2017-01-01 00:00:00,20.01,5.28,35.61,18.36,20.58,29.47,18.22,-888.88,16,5.77,4.26,
2017-01-01 00:30:00,19.79,5.28,35.48,18.36,20.58,29.34,18.22,-888.88,16,5.77,4.25,
2017-01-01 01:00:00,19.6,5.28,35.48,18.36,20.58,29.34,18.22,-888.88,16,5.78,4.25,
2017-01-01 01:30:00,19.44,5.15,35.35,18.36,20.45,29.34,18.22,-888.88,16,5.79,4.25,
2017-01-01 02:00:00,19.39,5.28,35.22,18.36,20.58,29.21,18.22,-888.88,16,5.79,4.25,
2017-01-01 02:30:00,19.39,5.15,35.22,18.49,20.45,29.21,18.22,-888.88,16,5.79,4.25,
2017-01-01 03:00:00,19.32,5.28,35.22,18.36,20.45,29.08,18.36,-888.88,16,5.8,4.25,
2017-01-01 03:30:00,19.22,5.28,35.09,18.36,20.45,29.08,18.22,-888.88,16,5.81,4.24,
2017-01-01 04:00:00,19.22,5.15,34.96,18.36,20.45,29.08,18.36,-888.88,16,5.81,4.24,
2017-01-01 04:30:00,19.27,5.15,34.96,18.36,20.45,29.08,18.36,-888.88,16,5.81,4.24,
2017-01-01 05:00:00,19.29,5.15,34.96,18.49,20.45,29.08,18.36,-888.88,15.87,5.82,4.24,
2017-01-01 05:30:00,19.32,5.28,34.96,18.36,20.45,28.95,18.36,-888.88,16,5.82,4.24,
2017-01-01 06:00:00,19.29,5.28,34.83,18.49,20.45,28.95,18.36,-888.88,16,5.83,4.24,
2017-01-01 06:30:00,19.25,5.28,34.83,18.36,20.45,28.81,18.36,-888.88,15.87,5.84,4.23,
2017-01-01 07:00:00,19.15,5.28,34.7,18.36,20.45,28.81,18.36,-888.88,15.87,5.85,4.23,
2017-01-01 07:30:00,18.98,5.28,34.7,18.36,20.45,28.81,18.36,-888.88,15.87,5.86,4.24,
2017-01-01 08:00:00,18.89,5.41,34.7,18.49,20.32,28.81,18.36,-888.88,15.87,5.86,4.25,
2017-01-01 08:30:00,18.91,5.41,34.7,18.49,20.32,28.81,18.49,-888.88,15.87,5.85,4.27,
2017-01-01 09:00:00,19.01,5.41,34.7,18.49,20.32,28.81,18.49,-888.88,15.87,5.83,4.29,
2017-01-01 09:30:00,19.22,5.41,34.57,18.62,20.45,28.81,18.49,-888.88,15.74,5.82,4.31,
2017-01-01 10:00:00,19.56,5.41,34.7,18.62,20.32,28.68,18.49,-888.88,15.61,5.8,4.33,
2017-01-01 10:30:00,20.01,5.41,34.57,18.75,20.19,28.55,18.49,-888.88,15.61,5.79,4.34,
2017-01-01 11:00:00,20.79,5.41,34.57,18.88,20.06,28.42,18.62,-888.88,15.48,5.77,4.36,
2017-01-01 11:30:00,21.99,5.41,34.44,18.88,19.92,28.42,18.62,-888.88,15.35,5.75,4.37,
2017-01-01 12:00:00,23.47,5.41,34.31,18.88,19.92,28.16,18.62,-888.88,15.22,5.73,4.38,
2017-01-01 12:30:00,25.09,5.41,34.17,18.88,19.79,28.03,18.49,-888.88,14.96,5.7,4.42,
2017-01-01 13:00:00,26.55,5.54,34.04,19.01,19.66,27.9,18.49,-888.88,14.96,5.67,4.42,
2017-01-01 13:30:00,27.63,5.41,33.91,18.88,19.53,27.77,18.36,-888.88,14.83,5.65,4.43,
2017-01-01 14:00:00,28.32,5.28,33.78,18.88,19.4,27.64,18.36,-888.88,14.69,5.64,4.43,
2017-01-01 14:30:00,28.82,5.41,33.78,18.88,19.27,27.51,18.22,-888.88,14.69,5.63,4.43,
2017-01-01 15:00:00,29.26,5.15,33.52,18.75,19.01,27.38,18.09,-888.88,14.56,5.62,4.43,
2017-01-01 15:30:00,28.97,5.02,33.39,18.62,19.01,27.25,17.83,-888.88,14.43,5.64,4.35,
2017-01-01 16:00:00,28.22,5.02,33.26,18.49,19.01,27.25,17.7,-888.88,14.43,5.66,4.34,
2017-01-01 16:30:00,27.48,5.02,33.13,18.49,18.88,27.11,17.7,-888.88,14.3,5.68,4.35,
2017-01-01 17:00:00,26.84,5.02,33,18.49,18.75,27.11,17.57,-888.88,14.3,5.69,4.31,
2017-01-01 17:30:00,26.16,5.02,32.87,18.36,18.88,26.98,17.44,-888.88,14.3,5.72,4.29,
2017-01-01 18:00:00,25.55,5.02,32.87,18.36,18.75,26.98,17.31,-888.88,14.17,5.73,4.29,
2017-01-01 18:30:00,25.02,4.89,32.74,18.36,18.75,26.98,17.31,-888.88,14.17,5.74,4.28,
2017-01-01 19:00:00,24.58,4.89,32.61,18.22,18.75,26.85,17.18,-888.88,14.17,5.75,4.28,
2017-01-01 19:30:00,24.19,4.89,32.61,18.22,18.62,26.85,17.18,-888.88,14.17,5.76,4.28,
2017-01-01 20:00:00,23.83,5.02,32.48,18.09,18.62,26.85,17.05,-888.88,14.04,5.76,4.27,
2017-01-01 20:30:00,23.54,4.89,32.48,18.09,18.75,26.72,17.05,-888.88,14.04,5.76,4.27,
2017-01-01 21:00:00,23.28,4.89,32.48,18.09,18.62,26.72,17.05,-888.88,14.04,5.77,4.27,
2017-01-01 21:30:00,23.04,4.89,32.34,18.09,18.62,26.59,17.05,-888.88,14.04,5.77,4.27,
2017-01-01 22:00:00,22.78,4.89,32.21,18.09,18.49,26.72,17.05,-888.88,14.04,5.77,4.26,
2017-01-01 22:30:00,22.51,4.76,32.21,18.09,18.49,26.59,16.92,-888.88,14.04,5.78,4.26,
2017-01-01 23:00:00,22.15,4.76,32.08,18.09,18.49,26.59,16.92,-888.88,14.04,5.79,4.26,
