日期時間,雨量 (mm),日照度 (uE),大氣壓力 (mbar),環境溫度 (°C),環境濕度 (%),土壤濕度 (%),露點 (°C),風向 (deg),風速 (m/sec),陣風 (m/sec),土壤溫度 (°C),電力 (V)
2017-01-01 00:00:00,0,1,1010.8,19.39,87.7,-14.07,17.32,102,0.5,1.5,18.65,4.27,
2017-01-01 00:30:00,0,1,1010.7,19.15,88,-14.33,17.14,102,0,1.5,18.08,4.27,
2017-01-01 01:00:00,0,1,1010.6,18.68,91.2,-14.46,17.23,102,0,0,17.77,4.27,
2017-01-01 01:30:00,0,1,1010.5,19.06,89.7,-14.46,17.35,102,0,1,18.6,4.27,
2017-01-01 02:00:00,0,1,1010.3,19.37,89.9,-14.46,17.69,102,0,0,19.06,4.27,
2017-01-01 02:30:00,0,1,1009.9,19.51,89.8,-14.59,17.81,102,0,0.5,18.65,4.27,
2017-01-01 03:00:00,0,1,1009.7,18.27,92.1,-14.72,16.99,102,0,1,17.75,4.42,
2017-01-01 03:30:00,0,1,1009.4,18.98,92.8,-14.59,17.82,102,0,0,18.75,4.4,
2017-01-01 04:00:00,0,1,1009.5,18.72,93.1,-14.59,17.61,102,0,0.5,18.68,4.42,
2017-01-01 04:30:00,0,1,1009.4,18.91,94.2,-14.59,17.98,102,0,0,18.91,4.4,
2017-01-01 05:00:00,0,1,1009.7,18.79,93.9,-14.59,17.81,102,0,0,18.63,4.41,
2017-01-01 05:30:00,0,1,1010,19.08,92.5,-14.72,17.86,102,0,0,18.46,4.41,
2017-01-01 06:00:00,0,1,1010.2,18.27,94,-14.85,17.31,102,0,0,17.82,4.41,
2017-01-01 06:30:00,0,1,1010.7,17.8,96.1,-14.98,17.19,102,0,0,17.03,4.4,
2017-01-01 07:00:00,0,39,1010.9,18.2,96,-15.11,17.57,102,0,1,17.25,4.41,
2017-01-01 07:30:00,0,136,1011.1,18.32,94.5,-15.11,17.44,104,0,0,18.51,4.41,
2017-01-01 08:00:00,0,334,1011.4,19.41,91.7,-14.46,18.05,59,0,0,21.25,4.4,
2017-01-01 08:30:00,0,521,1011.6,21.27,85.4,-13.68,18.75,29,0,0,23.62,4.42,
2017-01-01 09:00:00,0,774,1011.6,21.96,82.7,-13.02,18.91,28,0,1,22.97,4.4,
2017-01-01 09:30:00,0,964,1011.3,23.35,79.2,-12.76,19.57,15,0,1,26.74,4.41,
2017-01-01 10:00:00,0,1094,1011.2,24.73,70,-12.5,18.91,0,0,1.5,26.84,4.4,
2017-01-01 10:30:00,0,1304,1010.8,24.73,68.7,-12.5,18.61,329,0.5,3,25.77,4.42,
2017-01-01 11:00:00,0,1391,1010.4,25.4,65.3,-12.37,18.44,288,0,2,26.82,4.4,
2017-01-01 11:30:00,0,1354,1009.9,25.43,64.4,-12.24,18.24,337,0.5,2.5,28.3,4.4,
2017-01-01 12:00:00,0,1491,1009.1,26.28,61.4,-12.24,18.29,307,0.5,2.5,28.2,4.41,
2017-01-01 12:30:00,0,1491,1008.6,26.96,58,-12.11,18.02,220,0.5,2.5,29.31,4.4,
2017-01-01 13:00:00,0,1291,1008.2,27.04,59.4,-12.11,18.47,234,1,3.5,29.89,4.36,
2017-01-01 13:30:00,0,1361,1007.8,27.58,58,-11.98,18.59,296,1,3,30.6,4.36,
2017-01-01 14:00:00,0,1214,1007.3,27.26,56.8,-11.98,17.96,272,1,3,30.29,4.35,
2017-01-01 14:30:00,0,1006,1007,27.73,55.1,-11.98,17.91,299,0.5,3,30.85,4.35,
2017-01-01 15:00:00,0,264,1007,25.91,60.9,-11.71,17.81,291,1,3.5,27.11,4.33,
2017-01-01 15:30:00,0,134,1007,25.16,64.1,-11.84,17.92,305,0.5,2.5,25.4,4.33,
2017-01-01 16:00:00,0,111,1007.3,24.77,66.8,-11.98,18.21,313,0,2.5,24.92,4.33,
2017-01-01 16:30:00,0,119,1007.3,24.7,68.9,-11.98,18.63,326,0,3,24.94,4.33,
2017-01-01 17:00:00,0,36,1007.4,23.57,73.7,-12.11,18.62,309,0.5,3.5,23.4,4.33,
2017-01-01 17:30:00,0,1,1008,23.18,76.6,-12.24,18.87,288,0,2.5,23.04,4.33,
2017-01-01 18:00:00,0,1,1008.4,22.66,80.5,-12.37,19.15,215,0,3,22.73,4.32,
2017-01-01 18:30:00,0,1,1008.6,22.35,82.1,-12.24,19.17,177,0.5,3,22.37,4.32,
2017-01-01 19:00:00,0,1,1008.9,22.13,83.3,-12.37,19.19,173,0,2.5,22.13,4.31,
2017-01-01 19:30:00,0,1,1009,21.89,85,-12.5,19.28,180,0,2.5,21.84,4.31,
2017-01-01 20:00:00,0,1,1009.4,21.75,85.9,-12.5,19.31,154,0,1.5,21.75,4.31,
2017-01-01 20:30:00,0,1,1009.6,21.65,87,-12.63,19.42,152,0,1,21.63,4.31,
2017-01-01 21:00:00,0,1,1009.6,21.46,87.6,-12.76,19.34,153,0,1,21.27,4.3,
2017-01-01 21:30:00,0,1,1010,21.27,88.3,-12.89,19.28,159,0,0.5,21.15,4.3,
2017-01-01 22:00:00,0,1,1009.9,21.13,88.3,-12.89,19.14,159,0,1,20.84,4.29,
2017-01-01 22:30:00,0,1,1009.7,20.51,89.3,-13.15,18.71,154,0,1,19.77,4.29,
2017-01-01 23:00:00,0,1,1009.4,20.51,87.9,-13.15,18.46,122,0,1.5,20.15,4.29,
2017-01-01 23:30:00,0,1,1009.6,20.84,85.9,-13.15,18.42,108,0,1.5,20.27,4.29,
2017-01-02 00:00:00,0,1,1009.5,20.06,88.7,-13.15,18.16,272,0,1,19.89,4.28,
2017-01-02 00:30:00,0,1,1009.5,19.17,92,-13.54,17.87,191,0,0,18.25,4.28,
2017-01-02 01:00:00,0,1,1009.5,19.82,90.3,-13.54,18.21,156,0,0.5,19.53,4.28,
2017-01-02 01:30:00,0,1,1009.4,19.91,90.7,-13.54,18.37,140,0,0,19.39,4.28,
2017-01-02 02:00:00,0,1,1009.2,19.77,89.9,-13.68,18.09,139,0,0.5,19.03,4.28,
2017-01-02 02:30:00,0,1,1009,19.37,90.4,-13.81,17.78,138,0,0.5,18.6,4.28,
2017-01-02 03:00:00,0,1,1009.1,19.06,91.3,-14.07,17.63,138,0,0,18.3,4.36,
2017-01-02 03:30:00,0,1,1009,19.39,90.3,-14.07,17.78,138,0,0,19.1,4.37,
2017-01-02 04:00:00,0,1,1008.8,18.75,92.7,-14.2,17.56,138,0,0.5,17.61,4.41,
2017-01-02 04:30:00,0,1,1008.7,17.89,95.4,-14.46,17.17,138,0,0.5,17.08,4.44,
2017-01-02 05:00:00,0,1,1008.7,17.44,97,-14.72,16.98,138,0,0,16.7,4.44,
2017-01-02 05:30:00,0,1,1008.8,16.82,97.9,-14.85,16.51,126,0,0.5,16.32,4.42,
2017-01-02 06:00:00,0,1,1009.1,16.3,98.7,-14.85,16.11,70,0,0,15.84,4.42,
2017-01-02 06:30:00,0,1,1009.2,16.89,99.4,-14.72,16.82,67,0,0.5,16.42,4.44,
2017-01-02 07:00:00,0,56,1009.7,16.96,99.4,-14.59,16.89,53,0,0,16.25,4.42,
2017-01-02 07:30:00,0,174,1010,17.51,99.3,-14.85,17.42,330,0,0,17.37,4.44,
2017-01-02 08:00:00,0,349,1010,19.39,98.4,-14.72,19.16,15,0,1,21.72,4.42,
2017-01-02 08:30:00,0,561,1010.4,20.36,92.8,-13.68,19.19,44,0,1.5,21.96,4.44,
2017-01-02 09:00:00,0,761,1010.5,20.67,91.8,-12.89,19.32,320,0,1.5,22.18,4.41,
2017-01-02 09:30:00,0,949,1010.3,21.91,86,-12.5,19.49,302,0,1.5,23.71,4.44,
2017-01-02 10:00:00,0,1084,1010.1,22.99,77.3,-12.24,18.83,327,0,2,24.9,4.41,
