日期時間,土壤溫度 (°C),土壤濕度 (%),土壤導電度 (μS/cm),淋溶液水位 (mm),淋溶液導電度 (μS/cm),淋溶液溫度 (°C),雨量 (mm),左區日灌溉量(L),右區日灌溉量(L)
2017-01-17 15:00:02,20.7,30.5,0.05,,,30.5,0,,,
2017-01-17 15:10:02,20.8,30.5,0.05,,,30.5,0,,,
2017-01-17 15:20:02,20.9,30.5,0.04,,,30.5,0,,,
2017-01-17 15:30:01,21,30.5,0.04,,,30.5,0,,,
2017-01-17 15:40:01,21.1,30.5,0.05,,,30.5,0,,,
2017-01-17 15:50:01,21.2,30.5,0.05,,,30.5,0,,,
2017-01-17 16:00:01,21.3,30.5,0.05,,,30.5,0,,,
2017-01-17 16:10:01,21.3,30.5,0.04,,,30.5,0,,,
2017-01-17 16:20:00,21.4,30.5,0.04,,,30.5,0,,,
2017-01-17 16:30:00,21.5,30.5,0.04,,,30.5,0,,,
2017-01-17 16:40:02,21.6,30.5,0.05,,,30.5,0,,,
2017-01-17 16:50:02,21.6,30.5,0.04,,,30.5,0,,,
2017-01-17 17:00:02,21.7,30.5,0.04,,,30.5,0,,,
2017-01-17 17:10:02,21.7,30.5,0.05,,,30.5,0,,,
2017-01-17 17:20:02,21.7,30.5,0.04,,,30.5,0,,,
2017-01-17 17:30:01,21.8,30.5,0.04,,,30.5,0,,,
2017-01-17 17:40:01,21.8,30.5,0.04,,,30.5,0,,,
2017-01-17 17:50:01,21.9,30.5,0.04,,,30.5,0,,,
2017-01-17 18:00:01,21.9,30.5,0.04,,,30.5,0,,,
2017-01-17 18:10:01,21.9,30.5,0.04,,,30.5,0,,,
2017-01-17 18:20:00,21.9,30.5,0.04,,,30.5,0,,,
2017-01-17 18:30:00,21.9,30.5,0.04,,,30.5,0,,,
2017-01-17 18:40:00,21.9,30.5,0.04,,,30.5,0,,,
2017-01-17 18:50:00,21.9,30.5,0.04,,,30.5,0,0,,
2017-01-21 00:00:01,21.6,30.2,0.04,30.2,0,0,0,,,
2017-01-21 01:00:00,21.4,30.2,0.04,30.2,0,0,0,,,
2017-01-21 02:00:02,21.2,30.1,0.03,30.1,0,0,0,,,
2017-01-21 03:00:00,21.1,30.1,0.03,30.1,0,0,0,,,
2017-01-21 04:00:02,20.9,30.1,0.03,30.1,0,0,0,,,
2017-01-21 05:00:01,20.7,30.1,0.03,30.1,0,0,0,,,
2017-01-21 06:00:00,20.5,30.1,0.03,30.1,0,0,0,,,
2017-01-21 07:00:02,20.4,30.1,0.03,30.1,0,0,0,,,
2017-01-21 08:00:01,20.3,30.1,0.03,30.1,0,0,0,,,
2017-01-21 09:00:03,20.1,30.1,0.03,30.1,0,0,0,,,
2017-01-21 10:00:01,20.1,30.1,0.04,30.1,0,0,0,,,
2017-01-21 11:00:00,20.1,30.1,0.05,30.1,0,0,0,,,
2017-01-21 13:00:01,20.5,30.1,0.04,30.1,0,0,0,,,
2017-01-21 14:00:03,20.8,30.1,0.04,30.1,0,0,0,,,
2017-01-21 15:00:01,21.2,30.1,0.05,30.1,0,0,0,,,
2017-01-21 16:00:00,21.5,30.1,0.04,30.1,0,0,0,,,
2017-01-21 17:00:02,21.8,30.1,0.04,30.1,0,0,0,,,
