,觀測時間(LST)ObsTime,測站氣壓(hPa)StnPres,海平面氣壓(hPa)SeaPres,氣溫(℃)Temperature,露點溫度(℃)Td dew point,相對溼度(%)RH,風速(m/s)WS,風向(360degree)WD,最大陣風(m/s)WSGust,最大陣風風向(360degree)WDGust,降水量(mm)Precp,降水時數(hr)PrecpHour,日照時數(hr)SunShine,全天空日射量(MJ/㎡)GloblRad,能見度(km)Visb
0,2017-01-01 00:00,1011.9,,18.9,,93,0.8,87,,,0.0,,,,
1,2017-01-01 01:00,1011.6,,20.0,,89,0.6,49,,,0.0,,,,
2,2017-01-01 02:00,1011.1,,19.1,,91,0.8,76,,,0.0,,,,
3,2017-01-01 03:00,1010.9,,19.5,,87,1.4,61,,,0.0,,,,
4,2017-01-01 04:00,1011.1,,18.9,,89,1.1,78,,,0.0,,,,
5,2017-01-01 05:00,1011.7,,18.2,,91,0.8,80,,,0.0,,,,
6,2017-01-01 06:00,1012.2,,18.2,,90,1.0,66,,,0.0,,,,
7,2017-01-01 07:00,1012.9,,19.9,,85,0.5,91,,,0.0,,,,
8,2017-01-01 08:00,1013.0,,23.1,,72,1.0,336,,,0.0,,,,
9,2017-01-01 09:00,1012.7,,24.2,,64,0.7,320,,,0.0,,,,
10,2017-01-01 10:00,1012.3,,24.3,,66,0.7,272,,,0.0,,,,
11,2017-01-01 11:00,1011.3,,25.8,,62,1.1,267,,,0.0,,,,
12,2017-01-01 12:00,1010.2,,26.3,,59,1.1,263,,,0.0,,,,
13,2017-01-01 13:00,1009.5,,24.6,,65,1.5,280,,,0.0,,,,
14,2017-01-01 14:00,1009.2,,24.0,,72,0.9,302,,,0.0,,,,
15,2017-01-01 15:00,1009.3,,23.5,,75,0.9,290,,,0.0,,,,
16,2017-01-01 16:00,1009.6,,22.5,,79,0.0,0,,,X,,,,
17,2017-01-01 17:00,1010.0,,21.7,,84,0.1,0,,,0.0,,,,
18,2017-01-01 18:00,1010.6,,20.3,,89,0.5,72,,,0.0,,,,
19,2017-01-01 19:00,1010.8,,20.0,,88,0.5,78,,,0.0,,,,
20,2017-01-01 20:00,1011.2,,21.0,,87,2.4,20,,,0.0,,,,
21,2017-01-01 21:00,1011.4,,21.1,,86,2.1,31,,,0.0,,,,
22,2017-01-01 22:00,1010.7,,20.4,,87,0.3,175,,,0.0,,,,
23,2017-01-01 23:00,1010.8,,19.2,,93,0.7,175,,,0.0,,,,
24,2017-01-02 00:00,1010.8,,19.5,,91,0.4,68,,,0.0,,,,
25,2017-01-02 01:00,1010.5,,18.9,,93,0.4,68,,,0.0,,,,
26,2017-01-02 02:00,1010.3,,18.5,,94,0.9,68,,,0.0,,,,
27,2017-01-02 03:00,1010.3,,18.6,,93,0.4,67,,,0.0,,,,
28,2017-01-02 04:00,1010.1,,18.1,,95,0.1,0,,,0.0,,,,
29,2017-01-02 05:00,1010.3,,17.7,,95,0.8,46,,,0.0,,,,
30,2017-01-02 06:00,1010.7,,17.7,,94,0.2,0,,,0.0,,,,
31,2017-01-02 07:00,1011.2,,18.9,,90,0.9,135,,,0.0,,,,
32,2017-01-02 08:00,1011.9,,22.5,,75,0.5,280,,,0.0,,,,
33,2017-01-02 09:00,1011.5,,24.2,,69,1.3,309,,,0.0,,,,
34,2017-01-02 10:00,1010.9,,25.4,,63,2.1,328,,,0.0,,,,
35,2017-01-02 11:00,1009.9,,27.2,,58,1.1,266,,,0.0,,,,
36,2017-01-02 12:00,1008.8,,27.2,,61,1.5,258,,,0.0,,,,
37,2017-01-02 13:00,1008.3,,26.8,,60,1.3,283,,,0.0,,,,
38,2017-01-02 14:00,1007.9,,25.8,,63,0.4,227,,,0.0,,,,
39,2017-01-02 15:00,1007.9,,24.7,,64,0.2,0,,,0.0,,,,
40,2017-01-02 16:00,X,,X,,X,X,X,,,0.0,,,,
41,2017-01-02 17:00,1008.8,,20.9,,82,0.0,0,,,0.0,,,,
42,2017-01-02 18:00,1009.2,,20.0,,85,0.1,0,,,0.0,,,,
43,2017-01-02 19:00,1009.5,,20.5,,81,1.5,123,,,0.0,,,,
44,2017-01-02 20:00,1009.7,,19.8,,84,0.7,107,,,0.0,,,,
45,2017-01-02 21:00,1010.1,,19.8,,86,0.2,0,,,0.0,,,,
46,2017-01-02 22:00,1009.9,,19.7,,90,0.4,107,,,0.0,,,,
47,2017-01-02 23:00,1010.0,,19.7,,90,0.7,107,,,0.0,,,,
48,2017-01-03 00:00,1009.9,,19.3,,92,0.2,0,,,0.0,,,,
49,2017-01-03 01:00,1009.9,,19.4,,92,0.8,107,,,0.0,,,,
50,2017-01-03 02:00,1009.3,,19.0,,93,0.9,107,,,0.0,,,,
51,2017-01-03 03:00,1009.4,,19.0,,93,0.3,107,,,0.0,,,,
52,2017-01-03 04:00,1009.5,,18.8,,95,0.0,0,,,0.0,,,,
53,2017-01-03 05:00,1009.9,,18.5,,94,0.8,142,,,0.0,,,,
54,2017-01-03 06:00,1010.4,,18.2,,96,0.9,122,,,0.0,,,,
55,2017-01-03 07:00,1010.9,,19.6,,92,0.0,0,,,0.0,,,,
56,2017-01-03 08:00,1011.2,,22.7,,78,0.4,334,,,0.0,,,,
57,2017-01-03 09:00,1011.0,,24.2,,70,1.4,320,,,0.0,,,,
58,2017-01-03 10:00,1010.4,,24.4,,68,1.5,276,,,0.0,,,,
59,2017-01-03 11:00,1009.5,,25.2,,66,1.7,284,,,0.0,,,,
60,2017-01-03 12:00,1008.5,,26.6,,64,0.9,275,,,0.0,,,,
61,2017-01-03 13:00,1007.8,,25.9,,65,1.4,283,,,X,,,,
62,2017-01-03 14:00,1007.6,,26.5,,65,0.6,269,,,0.0,,,,
63,2017-01-03 15:00,1007.8,,24.0,,73,0.9,266,,,0.0,,,,
64,2017-01-03 16:00,1008.3,,22.7,,78,0.7,263,,,0.0,,,,
65,2017-01-03 17:00,1008.8,,20.7,,89,0.7,79,,,0.0,,,,
66,2017-01-03 18:00,1009.2,,20.4,,91,0.9,87,,,0.0,,,,
67,2017-01-03 19:00,1009.5,,19.7,,93,1.1,82,,,0.0,,,,
68,2017-01-03 20:00,1009.9,,19.4,,93,1.1,87,,,0.0,,,,
