,觀測時間(LST)ObsTime,測站氣壓(hPa)StnPres,海平面氣壓(hPa)SeaPres,氣溫(℃)Temperature,露點溫度(℃)Td dew point,相對溼度(%)RH,風速(m/s)WS,風向(360degree)WD,最大陣風(m/s)WSGust,最大陣風風向(360degree)WDGust,降水量(mm)Precp,降水時數(hr)PrecpHour,日照時數(hr)SunShine,全天空日射量(MJ/㎡)GloblRad,能見度(km)Visb
0,2017-01-01 00:00,1020.6,,19.3,,,0.0,0,,,0.0,,,,
1,2017-01-01 01:00,1020.3,,19.5,,,0.6,78,,,0.0,,,,
2,2017-01-01 02:00,1019.7,,18.8,,,0.0,0,,,0.0,,,,
3,2017-01-01 03:00,1019.6,,18.5,,,0.6,70,,,0.0,,,,
4,2017-01-01 04:00,1019.8,,18.2,,,0.1,0,,,0.0,,,,
5,2017-01-01 05:00,1020.4,,18.1,,,0.0,0,,,0.0,,,,
6,2017-01-01 06:00,1020.9,,18.0,,,0.3,25,,,0.0,,,,
7,2017-01-01 07:00,1021.5,,18.9,,,0.1,0,,,0.0,,,,
8,2017-01-01 08:00,1021.7,,22.3,,,0.1,0,,,0.0,,,,
9,2017-01-01 09:00,1021.5,,24.5,,,0.3,261,,,0.0,,,,
10,2017-01-01 10:00,1020.9,,24.9,,,0.9,258,,,0.0,,,,
11,2017-01-01 11:00,1020.0,,25.4,,,1.4,253,,,0.0,,,,
12,2017-01-01 12:00,1018.8,,25.8,,,0.9,262,,,0.0,,,,
13,2017-01-01 13:00,1018.1,,25.5,,,0.9,282,,,0.0,,,,
14,2017-01-01 14:00,1017.8,,24.4,,,0.8,265,,,0.0,,,,
15,2017-01-01 15:00,1018.1,,23.9,,,0.9,284,,,0.0,,,,
16,2017-01-01 16:00,1018.4,,23.1,,,0.9,235,,,0.0,,,,
17,2017-01-01 17:00,1018.7,,23.0,,,0.9,251,,,0.0,,,,
18,2017-01-01 18:00,1019.3,,22.9,,,1.4,333,,,0.0,,,,
19,2017-01-01 19:00,1019.6,,22.1,,,0.9,68,,,0.0,,,,
20,2017-01-01 20:00,1019.8,,22.2,,,1.6,21,,,0.0,,,,
21,2017-01-01 21:00,1020.1,,22.1,,,1.8,12,,,0.0,,,,
22,2017-01-01 22:00,1019.2,,21.2,,,0.5,12,,,0.0,,,,
23,2017-01-01 23:00,1019.4,,20.4,,,0.1,0,,,0.0,,,,
24,2017-01-02 00:00,1019.4,,19.8,,,0.5,81,,,0.0,,,,
