,Date,測站氣壓(hPa)StnPres,海平面氣壓(hPa)SeaPres,氣溫(℃)Temperature,露點溫度(℃)Td dew point,相對溼度(%)RH,風速(m/s)WS,風向(360degree)WD,最大陣風(m/s)WSGust,最大陣風風向(360degree)WDGust,降水量(mm)Precp,降水時數(hr)PrecpHour,日照時數(hr)SunShine,全天空日射量(MJ/㎡)GloblRad,能見度(km)Visb
0,2016/1/1 01:00,1010.2,,17.8,,85,1.4,56,,,0,,,,
1,2016/1/1 02:00,1009.8,,17.2,,86,0.8,75,,,0,,,,
2,2016/1/1 03:00,1009.8,,17.5,,84,1.3,80,,,0,,,,
3,2016/1/1 04:00,1009.8,,17.5,,81,1.1,92,,,0,,,,
4,2016/1/1 05:00,1010.4,,16.5,,87,0.9,126,,,0,,,,
5,2016/1/1 06:00,1010.8,,17.2,,81,1.1,115,,,0,,,,
6,2016/1/1 07:00,1011.6,,18.2,,80,0.5,172,,,0,,,,
7,2016/1/1 08:00,1012.2,,21.9,,67,0.9,208,,,0,,,,
8,2016/1/1 09:00,1011.9,,23.8,,60,0.5,251,,,0,,,,
9,2016/1/1 10:00,1011.1,,25.8,,51,0.8,203,,,0,,,,
10,2016/1/1 11:00,1010.3,,26.3,,46,1.7,321,,,0,,,,
11,2016/1/1 12:00,1009,,26.8,,45,1.8,318,,,0,,,,
12,2016/1/1 13:00,1008.1,,27.6,,44,1.5,240,,,0,,,,
13,2016/1/1 14:00,1007.9,,27.6,,44,1.4,276,,,0,,,,
14,2016/1/1 15:00,1008.2,,25.2,,55,2.3,208,,,0,,,,
15,2016/1/1 16:00,1008.8,,23.3,,62,1.2,223,,,0,,,,
16,2016/1/1 17:00,1009.3,,21.4,,70,0.5,60,,,0,,,,
17,2016/1/1 18:00,1009.7,,20.6,,74,0.8,60,,,0,,,,
18,2016/1/1 19:00,1010.2,,20.1,,76,0.7,65,,,0,,,,
19,2016/1/1 20:00,1010.5,,19.2,,79,0.7,34,,,0,,,,
20,2016/1/1 21:00,1010.6,,18.7,,84,0.8,4,,,0,,,,
21,2016/1/1 22:00,1010.3,,17.6,,90,0,0,,,0,,,,
